1;DEPOT CENTRAL;SIE;m;d
101;Depot2;SUC;m;
102;Strass 2;SUC;m;
103;Strass 5;SUC;m;
104;Strass 6;FRA;m;
105;Strass 7;FRA;m;
106;SIEGE;FRA;m;siege
107;Sousse Mall;SUC;m;
108;Azur city;SUC;m;
109;Strass VICOMTE;SUC;m;
110;STRASS KSAR HELLAL;SUC;m;
111;Strass Sfax;SUC;m;
112;STRASS SAHLOUL;SUC;m;
113;SHANGHAI;SUC;m;
114;Strass 8;SUC;m;
201;MARSEILLE;SUC;m;
202;STRASBOURG;SUC;m;
203;PARIS ROQUETTE;FRA;m;
204;DUNKERQUE;FRA;m;
205;ANNECY;SUC;m;
206;METZ;SUC;m;
295;Etab TEST LOT;SUC;m;
296;etab test 2.0;SUC;m;
301;PARIS UNIVERSITE;SUC;m;
302;NANCY;FRA;m;
303;QUIMPER;FRA;m;
304;SAINT TROPEZ;SUC;m;
305;MUNICH;SUC;m;
306;GRENOBLE;FRA;m;
401;PARIS CHAMPS ELYSEES;SUC;m;
402;PARIS SAINT HONORE;SUC;m;
403;RENNES;SUC;m;
404;LYON VITTON;SUC;m;
405;NICE;SUC;m;
406;KNOKKE ZOUTE;SUC;m;
996;etab test;SUC;m;
998;E-Boutique;ECO;m;
999;WEB;ECO;m;
